transaction_number,invoice,name,date,debit_credit,account,amount
1,SI2025-0001-WZ,Purchase Software - Aero Summit EURL - Montpellier - ref PO0001-TA,23/12/2025,D,628,2400.55
1,SI2025-0001-WZ,Purchase Software - Aero Summit EURL - Montpellier - ref PO0001-TA,23/12/2025,D,44566,240.06
1,SI2025-0001-WZ,Purchase Software - Aero Summit EURL - Montpellier - ref PO0001-TA,23/12/2025,C,401CRN,2640.61
2,CI2025-0002-FB,Sale Cloud migration - GoldenGolden Association - Nantes - ref SO0002-DF,16/11/2025,D,411RVS,3910.62
2,CI2025-0002-FB,Sale Cloud migration - GoldenGolden Association - Nantes - ref SO0002-DF,16/11/2025,C,702,3555.11
2,CI2025-0002-FB,Sale Cloud migration - GoldenGolden Association - Nantes - ref SO0002-DF,16/11/2025,C,44571,355.51
3,CI2025-0003-FM,Sale App maintenance - SilverGreen Association - Lyon - ref SO0003-FB,18/07/2025,D,411THC,4306.01
3,CI2025-0003-FM,Sale App maintenance - SilverGreen Association - Lyon - ref SO0003-FB,18/07/2025,C,704,3914.55
3,CI2025-0003-FM,Sale App maintenance - SilverGreen Association - Lyon - ref SO0003-FB,18/07/2025,C,44571,391.46
4,SI2025-0004-UV,Purchase Software - Alto Aero SA - Strasbourg - ref PO0004-ZU,09/02/2025,D,628,1577.63
4,SI2025-0004-UV,Purchase Software - Alto Aero SA - Strasbourg - ref PO0004-ZU,09/02/2025,D,44566,86.77
4,SI2025-0004-UV,Purchase Software - Alto Aero SA - Strasbourg - ref PO0004-ZU,09/02/2025,C,401WAV,1664.4
5,SI2025-0005-KB,Purchase Consulting - Nexus Pulse SAS - Marseille - ref PO0005-RV (split),28/09/2025,D,641,228.42
5,SI2025-0005-KB,Purchase Consulting - Nexus Pulse SAS - Marseille - ref PO0005-RV (split),28/09/2025,D,641,230.28
5,SI2025-0005-KB,Purchase Consulting - Nexus Pulse SAS - Marseille - ref PO0005-RV (split),28/09/2025,D,44566,91.74
5,SI2025-0005-KB,Purchase Consulting - Nexus Pulse SAS - Marseille - ref PO0005-RV (split),28/09/2025,C,401STR,550.44
6,PAY-SUP-2025-0006-NT,Payment to supplier Crest Pulse SAS - SEPA - ref PAY0006-UC,05/07/2025,D,401SPN,171.96
6,PAY-SUP-2025-0006-NT,Payment to supplier Crest Pulse SAS - SEPA - ref PAY0006-UC,05/07/2025,C,512,171.96
7,RCPT-2025-0007-DW,Customer receipt KiteStone SARL - Wire - ref RC0007-BE,20/03/2025,D,512,4052.75
7,RCPT-2025-0007-DW,Customer receipt KiteStone SARL - Wire - ref RC0007-BE,20/03/2025,C,411SNV,4052.75
8,SI2025-0008-WR,Purchase Printing - Bright Nexus SAS - Dijon - ref PO0008-MC,05/03/2025,D,602,1849.75
8,SI2025-0008-WR,Purchase Printing - Bright Nexus SAS - Dijon - ref PO0008-MC,05/03/2025,D,44566,184.98
8,SI2025-0008-WR,Purchase Printing - Bright Nexus SAS - Dijon - ref PO0008-MC,05/03/2025,C,401CLD,2034.73
9,SI2025-0009-IT,Purchase Catering - Zenith Metro EURL - Tours - ref PO0009-BF,16/04/2025,D,621,525.27
9,SI2025-0009-IT,Purchase Catering - Zenith Metro EURL - Tours - ref PO0009-BF,16/04/2025,D,44566,28.89
9,SI2025-0009-IT,Purchase Catering - Zenith Metro EURL - Tours - ref PO0009-BF,16/04/2025,C,401QRS,554.16
10,PAY-SUP-2025-0010-JH,Payment to supplier Pulse Urban SAS - SEPA - ref PAY0010-MM,07/04/2025,D,401AMS,2025.47
10,PAY-SUP-2025-0010-JH,Payment to supplier Pulse Urban SAS - SEPA - ref PAY0010-MM,07/04/2025,C,512,2025.47
11,SI2025-0011-RT,Purchase Utilities - Aero Pulse SARL - Nice - ref PO0011-EO,23/08/2025,D,601,199.99
11,SI2025-0011-RT,Purchase Utilities - Aero Pulse SARL - Nice - ref PO0011-EO,23/08/2025,D,44566,40.0
11,SI2025-0011-RT,Purchase Utilities - Aero Pulse SARL - Nice - ref PO0011-EO,23/08/2025,C,401VEC,239.99
12,SI2025-0012-TN,Purchase Catering - Urban Core SAS - Lille - ref PO0012-AF,04/01/2025,D,626,1763.16
12,SI2025-0012-TN,Purchase Catering - Urban Core SAS - Lille - ref PO0012-AF,04/01/2025,D,44566,352.63
12,SI2025-0012-TN,Purchase Catering - Urban Core SAS - Lille - ref PO0012-AF,04/01/2025,C,401BRC,2115.79
13,SI2025-0013-WH,Purchase IT Services - Urban Vista EURL - Marseille - ref PO0013-IP,14/05/2025,D,606,377.96
13,SI2025-0013-WH,Purchase IT Services - Urban Vista EURL - Marseille - ref PO0013-IP,14/05/2025,D,44566,20.79
13,SI2025-0013-WH,Purchase IT Services - Urban Vista EURL - Marseille - ref PO0013-IP,14/05/2025,C,401XEN,398.75
14,SI2025-0014-KH,Purchase Printing - Nova Urban SA - Nantes - ref PO0014-JS,28/11/2025,D,606,1230.27
14,SI2025-0014-KH,Purchase Printing - Nova Urban SA - Nantes - ref PO0014-JS,28/11/2025,D,44566,123.03
14,SI2025-0014-KH,Purchase Printing - Nova Urban SA - Nantes - ref PO0014-JS,28/11/2025,C,401AST,1353.3
15,SI2025-0015-PR,Purchase Travel - Zenith Zenith SAS - Marseille - ref PO0015-GT,04/09/2025,D,623,804.65
15,SI2025-0015-PR,Purchase Travel - Zenith Zenith SAS - Marseille - ref PO0015-GT,04/09/2025,D,44566,44.26
15,SI2025-0015-PR,Purchase Travel - Zenith Zenith SAS - Marseille - ref PO0015-GT,04/09/2025,C,401STR,848.91
16,CI2025-0016-ZU,Sale ERP setup - SilverEast SARL - Toulouse - ref SO0016-TZ,20/03/2025,D,411TSH,3167.82
16,CI2025-0016-ZU,Sale ERP setup - SilverEast SARL - Toulouse - ref SO0016-TZ,20/03/2025,C,706,3002.67
16,CI2025-0016-ZU,Sale ERP setup - SilverEast SARL - Toulouse - ref SO0016-TZ,20/03/2025,C,44571,165.15
17,CI2025-0017-JC,Sale Audit assistance - SolidStone SA - Rennes - ref SO0017-PE (multi-line),12/05/2025,D,411FQC,2183.74
17,CI2025-0017-JC,Sale Audit assistance - SolidStone SA - Rennes - ref SO0017-PE (multi-line),12/05/2025,C,702,1049.28
17,CI2025-0017-JC,Sale Audit assistance - SolidStone SA - Rennes - ref SO0017-PE (multi-line),12/05/2025,C,701,935.94
17,CI2025-0017-JC,Sale Audit assistance - SolidStone SA - Rennes - ref SO0017-PE (multi-line),12/05/2025,C,44571,198.52
18,CI2025-0018-ZG,Sale Data dashboard - EastStone SARL - Tours - ref SO0018-JN,18/07/2025,D,411XBG,4359.41
18,CI2025-0018-ZG,Sale Data dashboard - EastStone SARL - Tours - ref SO0018-JN,18/07/2025,C,701,3963.1
18,CI2025-0018-ZG,Sale Data dashboard - EastStone SARL - Tours - ref SO0018-JN,18/07/2025,C,44571,396.31
19,CI2025-0019-EZ,Sale Data dashboard - RedSouth Association - Bordeaux - ref SO0019-WU,27/09/2025,D,411VGT,324.78
19,CI2025-0019-EZ,Sale Data dashboard - RedSouth Association - Bordeaux - ref SO0019-WU,27/09/2025,C,701,270.65
19,CI2025-0019-EZ,Sale Data dashboard - RedSouth Association - Bordeaux - ref SO0019-WU,27/09/2025,C,44571,54.13
20,PAY-SUP-2025-0020-MQ,Payment to supplier Prime Nexus EURL - SEPA - ref PAY0020-XQ,08/04/2025,D,401GRN,2721.96
20,PAY-SUP-2025-0020-MQ,Payment to supplier Prime Nexus EURL - SEPA - ref PAY0020-XQ,08/04/2025,C,512,2721.96
21,CI2025-0021-ES,Sale Cloud migration - FreshGreen SA - Strasbourg - ref SO0021-UO,22/02/2025,D,411NJW,1417.57
21,CI2025-0021-ES,Sale Cloud migration - FreshGreen SA - Strasbourg - ref SO0021-UO,22/02/2025,C,706,1288.7
21,CI2025-0021-ES,Sale Cloud migration - FreshGreen SA - Strasbourg - ref SO0021-UO,22/02/2025,C,44571,128.87
22,CI2025-0022-CJ,Sale Audit assistance - GoldenSouth SARL - Marseille - ref SO0022-VV,24/02/2025,D,4117,3000.14
22,CI2025-0022-CJ,Sale Audit assistance - GoldenSouth SARL - Marseille - ref SO0022-VV,24/02/2025,C,702,2727.4
22,CI2025-0022-CJ,Sale Audit assistance - GoldenSouth SARL - Marseille - ref SO0022-VV,24/02/2025,C,44571,272.74
23,CI2025-0023-BC,Sale Website redesign - SolidNorth Association - Tours - ref SO0023-GK,06/04/2025,D,411KZD,118.47
23,CI2025-0023-BC,Sale Website redesign - SolidNorth Association - Tours - ref SO0023-GK,06/04/2025,C,701,107.7
23,CI2025-0023-BC,Sale Website redesign - SolidNorth Association - Tours - ref SO0023-GK,06/04/2025,C,44571,10.77
24,CI2025-0024-DG,Sale Website redesign - SouthEast SARL - Angers - ref SO0024-BD (multi-line),31/01/2025,D,4117,3081.66
24,CI2025-0024-DG,Sale Website redesign - SouthEast SARL - Angers - ref SO0024-BD (multi-line),31/01/2025,C,707,1054.35
24,CI2025-0024-DG,Sale Website redesign - SouthEast SARL - Angers - ref SO0024-BD (multi-line),31/01/2025,C,704,1513.7
24,CI2025-0024-DG,Sale Website redesign - SouthEast SARL - Angers - ref SO0024-BD (multi-line),31/01/2025,C,44571,513.61
25,RCPT-2025-0025-II,Customer receipt FreshNorth SARL - SEPA - ref RC0025-UW,09/12/2025,D,512,3411.13
25,RCPT-2025-0025-II,Customer receipt FreshNorth SARL - SEPA - ref RC0025-UW,09/12/2025,C,411VZN,3411.13
26,SI2025-0026-NV,Purchase Cleaning - Metro Summit SAS - Toulouse - ref PO0026-ON,21/10/2025,D,645,2370.08
26,SI2025-0026-NV,Purchase Cleaning - Metro Summit SAS - Toulouse - ref PO0026-ON,21/10/2025,D,44566,130.35
26,SI2025-0026-NV,Purchase Cleaning - Metro Summit SAS - Toulouse - ref PO0026-ON,21/10/2025,C,401RAP,2500.43
27,RCPT-2025-0027-EO,Customer receipt GreenNorth SAS - SEPA - ref RC0027-CO,09/01/2025,D,512,4087.17
27,RCPT-2025-0027-EO,Customer receipt GreenNorth SAS - SEPA - ref RC0027-CO,09/01/2025,C,411RJU,4087.17
28,SI2025-0028-UQ,Purchase Printing - Core Vista EURL - Paris - ref PO0028-HK,23/02/2025,D,635,98.52
28,SI2025-0028-UQ,Purchase Printing - Core Vista EURL - Paris - ref PO0028-HK,23/02/2025,D,44566,9.85
28,SI2025-0028-UQ,Purchase Printing - Core Vista EURL - Paris - ref PO0028-HK,23/02/2025,C,401CEN,108.37
29,CI2025-0029-UD,Sale Monthly support - KiteGreen SARL - Toulouse - ref SO0029-XV (multi-line),08/03/2025,D,4117,3864.2
29,CI2025-0029-UD,Sale Monthly support - KiteGreen SARL - Toulouse - ref SO0029-XV (multi-line),08/03/2025,C,706,2278.72
29,CI2025-0029-UD,Sale Monthly support - KiteGreen SARL - Toulouse - ref SO0029-XV (multi-line),08/03/2025,C,702,1384.03
29,CI2025-0029-UD,Sale Monthly support - KiteGreen SARL - Toulouse - ref SO0029-XV (multi-line),08/03/2025,C,44571,201.45
30,RCPT-2025-0030-SK,Customer receipt SmartRapid Association - Wire - ref RC0030-NR,12/01/2025,D,512,3526.28
30,RCPT-2025-0030-SK,Customer receipt SmartRapid Association - Wire - ref RC0030-NR,12/01/2025,C,411KZD,3526.28
31,SI2025-0031-NI,Purchase IT Services - Nexus Orion SAS - Tours - ref PO0031-OJ (split),15/02/2025,D,601,1047.97
31,SI2025-0031-NI,Purchase IT Services - Nexus Orion SAS - Tours - ref PO0031-OJ (split),15/02/2025,D,621,502.88
31,SI2025-0031-NI,Purchase IT Services - Nexus Orion SAS - Tours - ref PO0031-OJ (split),15/02/2025,D,44566,310.17
31,SI2025-0031-NI,Purchase IT Services - Nexus Orion SAS - Tours - ref PO0031-OJ (split),15/02/2025,C,401ACM,1861.02
32,SI2025-0032-XG,Purchase Cleaning - Aero Zenith SARL - Tours - ref PO0032-SO,19/05/2025,D,641,248.84
32,SI2025-0032-XG,Purchase Cleaning - Aero Zenith SARL - Tours - ref PO0032-SO,19/05/2025,D,44566,49.77
32,SI2025-0032-XG,Purchase Cleaning - Aero Zenith SARL - Tours - ref PO0032-SO,19/05/2025,C,401LOG,298.61
33,SI2025-0033-NN,Purchase Logistics - Bright Prime SARL - Rennes - ref PO0033-IP,02/07/2025,D,622,2403.78
33,SI2025-0033-NN,Purchase Logistics - Bright Prime SARL - Rennes - ref PO0033-IP,02/07/2025,D,44566,480.76
33,SI2025-0033-NN,Purchase Logistics - Bright Prime SARL - Rennes - ref PO0033-IP,02/07/2025,C,401VEC,2884.54
34,SI2025-0034-QW,Purchase Utilities - Summit Bright EURL - Angers - ref PO0034-YM,11/06/2025,D,623,757.43
34,SI2025-0034-QW,Purchase Utilities - Summit Bright EURL - Angers - ref PO0034-YM,11/06/2025,D,44566,41.66
34,SI2025-0034-QW,Purchase Utilities - Summit Bright EURL - Angers - ref PO0034-YM,11/06/2025,C,401LUM,799.09
35,SI2025-0035-LT,Purchase Travel - Metro Delta SAS - Strasbourg - ref PO0035-NS (split),20/11/2025,D,635,307.36
35,SI2025-0035-LT,Purchase Travel - Metro Delta SAS - Strasbourg - ref PO0035-NS (split),20/11/2025,D,611,156.6
35,SI2025-0035-LT,Purchase Travel - Metro Delta SAS - Strasbourg - ref PO0035-NS (split),20/11/2025,D,44566,92.79
35,SI2025-0035-LT,Purchase Travel - Metro Delta SAS - Strasbourg - ref PO0035-NS (split),20/11/2025,C,4017,556.75
36,CI2025-0036-QF,Sale Data dashboard - GreenRapid SARL - Lille - ref SO0036-OX,05/06/2025,D,411URV,3503.51
36,CI2025-0036-QF,Sale Data dashboard - GreenRapid SARL - Lille - ref SO0036-OX,05/06/2025,C,704,2919.59
36,CI2025-0036-QF,Sale Data dashboard - GreenRapid SARL - Lille - ref SO0036-OX,05/06/2025,C,44571,583.92
37,SI2025-0037-IF,Purchase Consulting - Summit Alto SAS - Marseille - ref PO0037-MJ,28/04/2025,D,615,1719.17
37,SI2025-0037-IF,Purchase Consulting - Summit Alto SAS - Marseille - ref PO0037-MJ,28/04/2025,D,44566,343.83
37,SI2025-0037-IF,Purchase Consulting - Summit Alto SAS - Marseille - ref PO0037-MJ,28/04/2025,C,401ACM,2063.0
38,PAY-SUP-2025-0038-LY,Payment to supplier Crest Pulse SAS - Bank transfer - ref PAY0038-OV,11/03/2025,D,401WES,2475.94
38,PAY-SUP-2025-0038-LY,Payment to supplier Crest Pulse SAS - Bank transfer - ref PAY0038-OV,11/03/2025,C,512,2475.94
39,CI2025-0039-YD,Sale Audit assistance - RedRed SAS - Reims - ref SO0039-JL,11/02/2025,D,411WIM,3918.58
39,CI2025-0039-YD,Sale Audit assistance - RedRed SAS - Reims - ref SO0039-JL,11/02/2025,C,706,3714.29
39,CI2025-0039-YD,Sale Audit assistance - RedRed SAS - Reims - ref SO0039-JL,11/02/2025,C,44571,204.29
40,CI2025-0040-ZS,Sale App maintenance - SmartSolid SA - Paris - ref SO0040-EH,17/11/2025,D,411OEK,2541.94
40,CI2025-0040-ZS,Sale App maintenance - SmartSolid SA - Paris - ref SO0040-EH,17/11/2025,C,704,2409.42
40,CI2025-0040-ZS,Sale App maintenance - SmartSolid SA - Paris - ref SO0040-EH,17/11/2025,C,44571,132.52
41,RCPT-2025-0041-OW,Customer receipt BlueFresh Association - Card - ref RC0041-JQ,22/06/2025,D,512,3652.38
41,RCPT-2025-0041-OW,Customer receipt BlueFresh Association - Card - ref RC0041-JQ,22/06/2025,C,411CYQ,3652.38
42,SI2025-0042-KH,Purchase Logistics - Vista Metro EURL - Montpellier - ref PO0042-CJ,12/04/2025,D,621,1399.51
42,SI2025-0042-KH,Purchase Logistics - Vista Metro EURL - Montpellier - ref PO0042-CJ,12/04/2025,D,44566,76.97
42,SI2025-0042-KH,Purchase Logistics - Vista Metro EURL - Montpellier - ref PO0042-CJ,12/04/2025,C,401SOL,1476.48
43,SI2025-0043-JK,Purchase IT Services - Urban Orion EURL - Angers - ref PO0043-SB,04/09/2025,D,601,353.99
43,SI2025-0043-JK,Purchase IT Services - Urban Orion EURL - Angers - ref PO0043-SB,04/09/2025,D,44566,70.8
43,SI2025-0043-JK,Purchase IT Services - Urban Orion EURL - Angers - ref PO0043-SB,04/09/2025,C,401LUM,424.79
