code,name,email,address,phone
BQF,Pioneer Partners,accounts@pioneerpartners666.com,88 Boulevard Victor Hugo Tours,+33186388577
JGK,Pioneer Holdings,info@pioneerholdings123.com,23 Boulevard Victor Hugo Nantes,+33034681311
VLA,Helios Services,admin@heliosservices707.com,167 Rue de la Paix Lyon,+33252260540
PQZ,Apollo Partners,office@apollopartners703.com,8 Rue Nationale Caen,+33351822703
XPL,Aquila Group,admin@aquilagroup474.com,63 Rue de la Paix Brest,+33759820946
IZQ,Neon Consulting,sales@neonconsulting257.com,75 Rue de la Paix Paris,+33333878913
MVA,Phoenix Logistics,support@phoenixlogistics857.com,145 Boulevard Victor Hugo Grenoble,+33147945861
VGT,Krypton Holdings,office@kryptonholdings48.com,52 Rue Pasteur Annecy,+33687671230
JMA,Nova Solutions,billing@novasolutions731.com,130 Rue Pasteur Lille,+33540588616
LJW,Nimbus Distribution,contact@nimbusdistribution457.com,166 Rue Pasteur Nice,+33822926737
NJW,Vertex Industries,service@vertexindustries55.com,119 Boulevard Carnot Caen,+33946262064
ANZ,Krypton Consulting,accounts@kryptonconsulting708.com,122 Rue des Acacias Rouen,+33724605391
IEC,Atlas Partners,info@atlaspartners873.com,97 Rue Nationale Marseille,+33359409657
ORP,Cosmos Consulting,admin@cosmosconsulting525.com,40 Boulevard Carnot Nantes,+33691867762
OGH,Phoenix Group,admin@phoenixgroup872.com,188 Rue de la Gare Rouen,+33344382454
NRT,Krypton Group,admin@kryptongroup714.com,139 Rue Pasteur Marseille,+33706475365
VYB,Nimbus Trading,contact@nimbustrading289.com,143 Boulevard Victor Hugo Reims,+33356319508
FBF,Orion Distribution,contact@oriondistribution658.com,30 Rue de la Gare Rennes,+33185203153
WLK,Apollo Solutions,billing@apollosolutions954.com,123 Rue des Acacias Rouen,+33686610532
BYX,Vertex Solutions,service@vertexsolutions701.com,135 Rue du Commerce Paris,+33620976601
POF,Cosmos Logistics,billing@cosmoslogistics557.com,105 Boulevard Carnot Annecy,+33579439857
MER,Phoenix Industries,admin@phoenixindustries94.com,128 Rue Nationale Bordeaux,+33509207926
XRY,Sigma Holdings,billing@sigmaholdings530.com,134 Rue de la Gare Paris,+33058411907
IVZ,Apollo Distribution,info@apollodistribution380.com,195 Rue du Commerce Lille,+33898718360
ROR,Vega Partners,sales@vegapartners710.com,25 Avenue de la Republique Paris,+33463937573
RVS,Nova Services,admin@novaservices304.com,195 Boulevard Victor Hugo Brest,+33495529962
CXC,Lynx Holdings,support@lynxholdings766.com,189 Rue du Commerce Lille,+33448621594
JRO,Krypton Partners,admin@kryptonpartners70.com,137 Rue Pasteur Angers,+33344326134
CZM,Atlas Trading,billing@atlastrading760.com,21 Avenue de la Republique Caen,+33342606457
HDD,Sigma Partners,office@sigmapartners688.com,108 Boulevard Victor Hugo Nice,+33300989502
ERM,Helios Industries,service@heliosindustries208.com,104 Avenue Jean Jaures Dijon,+33848655662
KZD,Delta Holdings,sales@deltaholdings841.com,59 Avenue de la Republique Lyon,+33050854783
LIS,Delta Industries,info@deltaindustries119.com,13 Boulevard Carnot Nice,+33292116819
TSH,Mercury Industries,office@mercuryindustries147.com,111 Rue Pasteur Nantes,+33353322843
RUO,Apollo Holdings,admin@apolloholdings696.com,95 Boulevard Victor Hugo Caen,+33749501900
XDO,Atlas Consulting,admin@atlasconsulting311.com,159 Avenue Jean Jaures Bordeaux,+33167967353
EBA,Titan Holdings,accounts@titanholdings92.com,52 Avenue Jean Jaures Caen,+33343041237
APR,Neon Trading,admin@neontrading121.com,15 Boulevard Carnot Reims,+33143988362
WMO,Nova Group,sales@novagroup198.com,111 Rue Pasteur Toulouse,+33310691401
JUO,Orion Services,office@orionservices966.com,161 Rue Nationale Toulouse,+33378922517
HRA,Horizon Partners,hello@horizonpartners743.com,40 Avenue de la Republique Rouen,+33793498736
ZDM,Atlas Solutions,support@atlassolutions969.com,163 Rue Nationale Lille,+33973900016
UZC,Sigma Distribution,hello@sigmadistribution595.com,7 Rue des Acacias Nantes,+33708625578
KDN,Mercury Group,sales@mercurygroup878.com,115 Rue de la Paix Lyon,+33169515690
WVA,Vertex Partners,admin@vertexpartners975.com,127 Rue du Commerce Strasbourg,+33958580744
QYM,Sigma Group,admin@sigmagroup774.com,174 Rue Pasteur Rennes,+33951810417
VZN,Neon Partners,office@neonpartners281.com,53 Rue Nationale Strasbourg,+33211870656
GTZ,Apollo Trading,accounts@apollotrading241.com,125 Boulevard Carnot Lille,+33508330453
DNK,Phoenix Services,contact@phoenixservices383.com,66 Rue des Acacias Dijon,+33424579225
HBC,Mercury Consulting,support@mercuryconsulting512.com,107 Rue du Commerce Nantes,+33426686884
JZJ,Neon Industries,contact@neonindustries710.com,111 Rue de la Gare Rouen,+33261799357
EYK,Helios Logistics,support@helioslogistics553.com,66 Boulevard Carnot Marseille,+33993146061
MUN,Atlas Industries,contact@atlasindustries403.com,111 Rue Pasteur Grenoble,+33147429415
TCL,Apollo Group,billing@apollogroup901.com,21 Rue du Commerce Annecy,+33975511667
CYQ,Lynx Logistics,hello@lynxlogistics389.com,180 Rue de la Gare Rouen,+33023685293
GCZ,Atlas Logistics,admin@atlaslogistics645.com,189 Boulevard Carnot Paris,+33463809315
IYR,Helios Partners,support@heliospartners252.com,18 Rue du Commerce Caen,+33994132303
