transaction_number,invoice,name,date,debit_credit,account,amount
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,D,2112,10617.60
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,D,3922,3237.65
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,C,168,13855.25
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,D,626,5978.85
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,D,44566,1195.77
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,C,401ALT,7174.62
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,D,411ZTH,22042.46
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,C,702,18368.72
000001,INV2025-00001,Sales invoice to Boreal Group,30/06/2025,C,44571,3673.74
000002,,Initial equipment and inventory setup,02/05/2025,D,281,8406.20
000002,,Initial equipment and inventory setup,02/05/2025,D,3955,3056.18
000002,,Initial equipment and inventory setup,02/05/2025,C,165,11462.38
000003,,Bank fees charged by Banque Meridian,03/05/2025,D,206,2484.69
000003,,Bank fees charged by Banque Meridian,03/05/2025,D,3265,7024.55
000003,,Bank fees charged by Banque Meridian,03/05/2025,C,165,9509.24
000003,,Bank fees charged by Banque Meridian,03/05/2025,D,66116,464.98
000003,,Bank fees charged by Banque Meridian,03/05/2025,C,5121,464.98
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,D,290,9962.17
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,D,351,673.30
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,C,165,10635.47
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,D,601,5516.15
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,D,44562,1103.23
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,C,401PRO,6619.38
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,D,411ORP,10820.11
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,C,701,9016.76
000004,INV2025-00004,Sales invoice to Riviera Group,03/05/2025,C,44571,1803.35
000005,INV2025-00005,Sales invoice to Yonder Commerce,08/02/2025,D,2312,14256.18
000005,INV2025-00005,Sales invoice to Yonder Commerce,08/02/2025,D,3955,5340.23
000005,INV2025-00005,Sales invoice to Yonder Commerce,08/02/2025,C,168,19596.41
000005,INV2025-00005,Sales invoice to Yonder Commerce,08/02/2025,D,411INK,21971.81
000005,INV2025-00005,Sales invoice to Yonder Commerce,08/02/2025,C,703,18309.84
000005,INV2025-00005,Sales invoice to Yonder Commerce,08/02/2025,C,44571,3661.97
000006,INV2025-00006,Sales invoice to Jade Retail,23/10/2025,D,2185,8224.16
000006,INV2025-00006,Sales invoice to Jade Retail,23/10/2025,D,3411,11806.26
000006,INV2025-00006,Sales invoice to Jade Retail,23/10/2025,C,165,20030.42
000006,INV2025-00006,Sales invoice to Jade Retail,23/10/2025,D,411OGH,2632.50
000006,INV2025-00006,Sales invoice to Jade Retail,23/10/2025,C,707,2193.75
000006,INV2025-00006,Sales invoice to Jade Retail,23/10/2025,C,44571,438.75
000007,INV2025-00007,Goods purchase from Dockside Hardware,25/02/2025,D,2312,12025.16
000007,INV2025-00007,Goods purchase from Dockside Hardware,25/02/2025,D,3926,5086.03
